Hour,Marginal_Price_GBP,Wind_Generated_MWh,Solar_Generated_MWh,Gas_Generated_MWh,Demand_MWh,Supply_Shortage_MWh
66,89.68948571428574,10903.092980580866,3353.044571898932,15617.362447520201,29873.5,0.0
67,78.4783,11330.457830109368,3389.4776367000663,14857.564533190565,29577.5,0.0
68,85.78994285714288,11481.904816308004,2365.4111880332175,15476.68399565878,29324.0,0.0
69,83.84017142857144,11781.457166946255,1200.424198809932,15052.118634243812,28034.0,0.0
70,75.919225,12381.75685305498,114.48354744125429,13319.759599503766,25816.0,0.0
71,65.20902222222223,14550.464711542445,0.0023060252806526215,8675.532982432274,23226.0,0.0
72,53.97321818181818,17440.176987036197,0.0,4238.323012963803,21678.5,0.0
73,55.21398181818182,17689.556947606536,0.0,3281.9430523934643,20971.5,0.0
74,55.21398181818182,17865.5949579744,0.0,2340.905042025599,20206.5,0.0
75,57.07512727272727,18076.22605807896,0.0,1780.2739419210411,19856.5,0.0
76,55.83436363636364,17651.986273273462,0.0,1884.0137267265382,19536.0,0.0
77,53.352836363636364,16944.328587028398,19.525321495827853,3279.646091475774,20243.5,0.0
78,56.64086,16427.978029717437,1038.5861037037803,5356.935866578783,22823.5,0.0
79,57.323280000000004,16032.187924354646,3901.4184280951827,5679.3936475501705,25613.0,0.0
80,53.352836363636364,15683.808942968884,6997.863040233462,3456.8280167976536,26138.5,0.0
81,0.0,15360.207401711914,10572.29482150391,0.0,25651.5,0.0
82,0.0,15322.04271635778,12778.2962849868,0.0,25117.5,0.0
83,0.0,15736.72372598776,13374.425000197934,0.0,24488.0,0.0
84,0.0,15939.389314335982,14343.596237292833,0.0,24169.0,0.0
85,0.0,15708.559960906696,15089.228596569385,0.0,23745.0,0.0
86,0.0,15883.214936036706,14553.87962052814,0.0,23329.5,0.0
87,0.0,15975.46016700724,13272.868345348637,0.0,24048.0,0.0
88,0.0,15715.537491596773,11402.103520967608,0.0,25832.5,0.0
89,57.07512727272727,14876.931213930953,10435.106469001648,2709.4623170673985,28021.5,0.0
90,60.052960000000006,14225.743171468832,8647.11004525842,6445.6467832727485,29318.5,0.0
91,65.96726666666667,13913.85284073688,5654.64497214177,9839.50218712135,29408.0,0.0
92,66.72551111111112,13826.813089917468,2862.850825681483,11854.83608440105,28544.5,0.0
93,74.213175,13527.86893903341,1344.3890970525918,12735.741963913999,27608.0,0.0
94,72.507125,12861.127624563818,130.7954213721198,12994.076954064061,25986.0,0.0
95,63.69253333333334,12156.922553833776,0.0018448202245212424,11184.075601346,23341.0,0.0
96,65.20902222222223,12024.754849085177,0.0,9488.245150914823,21513.0,0.0
97,57.323280000000004,12408.584863268588,0.0,8484.415136731412,20893.0,0.0
98,57.323280000000004,13040.842678713658,0.0,7140.657321286342,20181.5,0.0
99,58.688120000000005,13482.49937363946,0.0,6270.000626360539,19752.5,0.0
100,61.41780000000001,13517.055486583275,0.0,5764.444513416725,19281.5,0.0
101,60.735380000000006,13777.337651906373,15.734473709704064,6041.427874383923,19834.5,0.0
102,62.10022000000001,13791.296566985659,613.1258909419371,8388.077542072404,22792.5,0.0
103,70.51673333333333,13538.28519345984,1830.625812678246,11060.588993861915,26429.5,0.0
104,73.54971111111111,13185.982779019701,3611.745464827285,11142.271756153013,27940.0,0.0
105,72.79146666666666,12645.56990896631,4772.579878390774,10400.350212642916,27818.5,0.0
106,65.51232,12081.63373770041,6490.298496187298,8337.567766112294,26909.5,0.0
107,62.78264000000001,10505.84957011736,7265.856157425443,8217.794272457199,25989.5,0.0
108,60.735380000000006,9701.384504098,9116.376966848718,6529.738529053282,25347.5,0.0
109,58.688120000000005,8550.212544392853,10524.935372713702,5413.852082893445,24489.0,0.0
110,55.95844,6476.058093628948,12596.944458259757,5243.497448111295,24316.5,0.0
111,55.27602000000001,4410.328996261598,12997.567104318663,7610.603899419741,25018.5,0.0
112,62.934288888888894,3654.3039152320152,11856.737779948024,11266.95830481996,26778.0,0.0
113,78.96574285714287,3041.8148888339647,10172.610423330842,15313.074687835195,28527.5,0.0
114,76.04108571428573,2239.7965579688466,7370.234542254988,17500.0,29266.0,2155.968899776166
115,76.04108571428573,2439.029037152807,4252.318200481981,17500.0,28885.0,4693.652762365211
116,78.96574285714287,3560.5910366328935,1511.5844031025706,17500.0,28133.0,5560.824560264537
117,81.89040000000001,3063.458233762969,533.4953872376337,17500.0,26658.5,5561.5463789993955
118,84.81505714285716,2992.075224525128,64.58730833022588,17500.0,25502.5,4945.837467144647
119,82.86528571428573,2923.508517277679,0.0004612050561313755,17500.0,23131.5,2707.991021517264
120,85.78994285714288,2542.767117601516,0.0,17500.0,21414.5,1371.7328823984826
121,87.7397142857143,2263.005308782109,0.0,17500.0,20580.5,817.494691217893
122,90.66437142857144,1633.6825284485622,0.0,17500.0,19895.0,761.3174715514397
123,92.61414285714285,941.2360785404834,0.0,17500.0,19191.5,750.2639214595183
124,89.68948571428574,696.7927228239366,0.0,17500.0,18788.5,591.707277176065
125,86.76482857142858,744.7616853684882,12.477714924276826,17500.0,18618.0,360.7605997072351
126,82.86528571428573,984.0763765184538,569.8272024275066,17500.0,19459.0,405.09642105404055
127,83.84017142857144,1120.0159839807495,1695.4461241898575,17500.0,20970.5,655.0378918293936
128,81.89040000000001,1091.6026244662526,4027.539763773757,17500.0,22623.5,4.357611759991414
129,81.89040000000001,939.2700073683571,6215.349161707756,16527.38083092389,23682.0,0.0
130,72.507125,976.2492525927078,9282.23714160396,13590.513605803331,23849.0,0.0
131,60.052960000000006,3048.3285306136395,11947.447832990134,8381.223636396227,23377.0,0.0
132,58.005700000000004,3195.5111342848354,14670.538305318545,5109.950560396619,22976.0,0.0
133,50.87130909090909,3746.874483874947,17258.72932244352,862.3961936815322,21868.0,0.0
134,0.0,4072.1565265476875,17139.16033308149,0.0,20535.5,0.0
135,0.0,4847.588407986514,15661.496641189897,0.0,20272.0,0.0
136,52.732454545454544,5016.02152212469,14565.67943586365,1648.7990420116585,21230.5,0.0
137,56.64086,6667.81012161615,11347.202581034313,4871.987297349537,22887.0,0.0
138,56.64086,7536.002632735008,9740.833007978763,6554.164359286229,23831.0,0.0
139,59.90131111111112,8942.274913945766,6665.368285380673,9008.35680067356,24616.0,0.0
140,62.17604444444444,10041.578672760974,3635.968993663122,11437.952333575904,25115.5,0.0
141,72.507125,9923.466915506568,1507.789472815134,13239.2436116783,24670.5,0.0
142,75.06620000000001,10174.630032038393,113.79974228223921,13356.570225679368,23645.0,0.0
143,69.00024444444445,9779.95137406512,0.0004612050561313755,11958.548164729824,21738.5,0.0
144,68.242,10338.167128574856,0.0,10188.832871425144,20527.0,0.0
145,67.48375555555556,9701.73691045524,0.0,9858.76308954476,19560.5,0.0
146,69.75848888888889,9613.608044479595,0.0,9116.891955520405,18730.5,0.0
147,64.14748,9674.566090167082,0.0,8466.433909832918,18141.0,0.0
148,65.51232,9572.717560693187,0.0,8142.282439306813,17715.0,0.0
149,65.51232,8997.8546666001,11.256289255019121,8424.88904414488,17434.0,0.0
